_time,islan,isnewip,isnewuser,isvpn,percent,src_ip_c,tag,total_c
2019–11–16T00:00:00.000+0800,0,0,1,0,0.166666667,2,1,12
2019–11–16T00:00:00.000+0800,0,1,1,0,0.153846154,2,1,13
2019–11–16T00:00:00.000+0800,0,1,1,0,0.153846154,2,1,13
2019–11–16T00:00:00.000+0800,0,0,1,0,0.434782609,10,1,23
2019–11–16T00:00:00.000+0800,0,0,1,0,0.434782609,10,1,23
2019–11–16T00:00:00.000+0800,0,1,1,0,0.153846154,2,1,13
2019–11–16T00:00:00.000+0800,0,1,1,0,0.153846154,2,1,13
2019–11–16T00:00:00.000+0800,0,1,1,0,0.181818182,2,1,11
2019–11–16T00:00:00.000+0800,0,1,1,0,0.181818182,2,1,11
2019–11–16T00:00:00.000+0800,0,1,1,0,0.003820439,4,1,1047
2019–11–16T00:00:00.000+0800,0,1,1,0,0.003820439,4,1,1047
2019–11–16T00:00:00.000+0800,0,1,1,0,0.016806723,4,1,238
2019–11–16T00:00:00.000+0800,0,1,1,0,0.016806723,4,1,238
2019–11–16T00:00:00.000+0800,0,1,1,0,0.181818182,2,1,11
2019–11–16T00:00:00.000+0800,0,1,1,0,0.181818182,2,1,11
2019–11–16T00:00:00.000+0800,0,1,1,0,0.003820439,4,1,1047
2019–11–16T00:00:00.000+0800,0,1,1,0,0.003820439,4,1,1047
2019–11–16T00:00:00.000+0800,0,1,1,0,0.016806723,4,1,238
2019–11–16T00:00:00.000+0800,0,1,1,0,0.016806723,4,1,238
2019–11–16T00:00:00.000+0800,0,1,1,0,0.105263158,2,1,19
2019–11–16T00:00:00.000+0800,0,1,1,0,0.105263158,2,1,19
2019–11–16T00:00:00.000+0800,0,1,1,0,0.166666667,2,1,12
2019–11–16T00:00:00.000+0800,0,1,1,0,0.166666667,2,1,12
2019–11–16T00:00:00.000+0800,0,1,1,0,0.045454545,2,1,44
2019–11–16T00:00:00.000+0800,0,1,1,0,0.045454545,2,1,44
2019–11–16T00:00:00.000+0800,0,1,1,0,1,4,1,4
2019–11–16T00:00:00.000+0800,0,1,1,0,1,4,1,4
2019–11–16T00:00:00.000+0800,0,0,1,0,0.444444444,12,1,27
